match_id,season,team,batsman,runs,balls_faced,fours,sixes,dismissed,strike_rate
1,2011,Sunrisers Hyderabad,Kane Williamson,47,54,6,2,False,87.04
1,2011,Sunrisers Hyderabad,Abhishek Sharma,40,50,6,2,False,80.0
1,2011,Sunrisers Hyderabad,Rahul Tripathi,59,78,8,2,True,75.64
1,2011,Sunrisers Hyderabad,Nicholas Pooran,50,53,8,2,True,94.34
1,2011,Rajasthan Royals,Jos Buttler,48,74,6,3,True,64.86
1,2011,Rajasthan Royals,Sanju Samson,75,96,12,6,False,78.12
1,2011,Rajasthan Royals,Yashasvi Jaiswal,40,40,3,2,True,100.0
1,2011,Rajasthan Royals,Devdutt Padikkal,66,74,6,5,True,89.19
2,2011,Chennai Super Kings,MS Dhoni,21,40,2,1,False,52.5
2,2011,Chennai Super Kings,Ruturaj Gaikwad,44,55,3,4,False,80.0
2,2011,Chennai Super Kings,Devon Conway,59,78,9,4,True,75.64
2,2011,Chennai Super Kings,Ambati Rayudu,33,33,4,3,True,100.0
2,2011,Royal Challengers Bangalore,Virat Kohli,13,13,1,0,True,100.0
2,2011,Royal Challengers Bangalore,Faf du Plessis,59,65,5,4,True,90.77
2,2011,Royal Challengers Bangalore,Glenn Maxwell,28,35,3,2,True,80.0
2,2011,Royal Challengers Bangalore,Dinesh Karthik,68,91,10,3,False,74.73
3,2011,Delhi Capitals,David Warner,26,35,3,2,False,74.29
3,2011,Delhi Capitals,Prithvi Shaw,54,59,7,3,True,91.53
3,2011,Delhi Capitals,Rishabh Pant,28,41,3,0,False,68.29
3,2011,Delhi Capitals,Axar Patel,58,78,6,2,True,74.36
3,2011,Mumbai Indians,Rohit Sharma,30,38,3,3,True,78.95
3,2011,Mumbai Indians,Ishan Kishan,71,100,6,4,True,71.0
3,2011,Mumbai Indians,Suryakumar Yadav,27,40,3,1,False,67.5
3,2011,Mumbai Indians,Hardik Pandya,28,28,4,2,True,100.0
4,2011,Punjab Kings,Shikhar Dhawan,56,66,8,4,True,84.85
4,2011,Punjab Kings,Jonny Bairstow,39,39,6,2,True,100.0
4,2011,Punjab Kings,Liam Livingstone,60,65,10,3,True,92.31
4,2011,Punjab Kings,Sam Curran,35,49,3,3,True,71.43
4,2011,Kolkata Knight Riders,Shreyas Iyer,22,22,3,0,True,100.0
4,2011,Kolkata Knight Riders,Venkatesh Iyer,52,79,4,5,True,65.82
4,2011,Kolkata Knight Riders,Andre Russell,55,71,7,4,False,77.46
4,2011,Kolkata Knight Riders,Nitish Rana,54,57,5,3,True,94.74
5,2011,Sunrisers Hyderabad,Kane Williamson,20,20,1,1,True,100.0
5,2011,Sunrisers Hyderabad,Abhishek Sharma,38,57,5,1,False,66.67
5,2011,Sunrisers Hyderabad,Rahul Tripathi,29,36,4,2,True,80.56
5,2011,Sunrisers Hyderabad,Nicholas Pooran,15,15,1,1,False,100.0
5,2011,Rajasthan Royals,Jos Buttler,78,90,8,7,True,86.67
5,2011,Rajasthan Royals,Sanju Samson,50,59,7,3,True,84.75
5,2011,Rajasthan Royals,Yashasvi Jaiswal,51,71,7,4,True,71.83
5,2011,Rajasthan Royals,Devdutt Padikkal,55,57,5,2,False,96.49
6,2011,Delhi Capitals,David Warner,58,68,7,4,True,85.29
6,2011,Delhi Capitals,Prithvi Shaw,60,77,7,5,False,77.92
6,2011,Delhi Capitals,Rishabh Pant,44,44,4,4,True,100.0
6,2011,Delhi Capitals,Axar Patel,63,80,7,7,True,78.75
6,2011,Royal Challengers Bangalore,Virat Kohli,79,79,7,6,True,100.0
6,2011,Royal Challengers Bangalore,Faf du Plessis,88,107,7,5,True,82.24
6,2011,Royal Challengers Bangalore,Glenn Maxwell,32,47,5,3,False,68.09
6,2011,Royal Challengers Bangalore,Dinesh Karthik,48,52,5,5,True,92.31
7,2011,Chennai Super Kings,MS Dhoni,20,35,3,2,True,57.14
7,2011,Chennai Super Kings,Ruturaj Gaikwad,44,45,3,1,False,97.78
7,2011,Chennai Super Kings,Devon Conway,28,28,4,1,True,100.0
7,2011,Chennai Super Kings,Ambati Rayudu,42,57,4,2,False,73.68
7,2011,Kolkata Knight Riders,Shreyas Iyer,33,34,4,3,True,97.06
7,2011,Kolkata Knight Riders,Venkatesh Iyer,41,45,4,2,True,91.11
7,2011,Kolkata Knight Riders,Andre Russell,73,102,8,7,True,71.57
7,2011,Kolkata Knight Riders,Nitish Rana,51,62,4,4,True,82.26
8,2011,Mumbai Indians,Rohit Sharma,50,50,8,1,True,100.0
8,2011,Mumbai Indians,Ishan Kishan,57,64,5,3,True,89.06
8,2011,Mumbai Indians,Suryakumar Yadav,33,54,5,3,True,61.11
8,2011,Mumbai Indians,Hardik Pandya,47,63,7,1,True,74.6
8,2011,Punjab Kings,Shikhar Dhawan,63,74,8,4,False,85.14
8,2011,Punjab Kings,Jonny Bairstow,40,40,3,3,False,100.0
8,2011,Punjab Kings,Liam Livingstone,56,62,6,6,False,90.32
8,2011,Punjab Kings,Sam Curran,59,65,6,6,True,90.77
9,2011,Mumbai Indians,Rohit Sharma,11,18,1,0,True,61.11
9,2011,Mumbai Indians,Ishan Kishan,53,78,4,5,False,67.95
9,2011,Mumbai Indians,Suryakumar Yadav,20,20,3,1,True,100.0
9,2011,Mumbai Indians,Hardik Pandya,32,46,3,1,False,69.57
9,2011,Punjab Kings,Shikhar Dhawan,20,26,1,2,True,76.92
9,2011,Punjab Kings,Jonny Bairstow,49,85,6,2,True,57.65
9,2011,Punjab Kings,Liam Livingstone,46,68,7,3,True,67.65
9,2011,Punjab Kings,Sam Curran,59,88,8,3,True,67.05
10,2011,Chennai Super Kings,MS Dhoni,52,55,9,2,True,94.55
10,2011,Chennai Super Kings,Ruturaj Gaikwad,45,53,4,2,False,84.91
10,2011,Chennai Super Kings,Devon Conway,53,65,5,3,True,81.54
10,2011,Chennai Super Kings,Ambati Rayudu,80,90,10,5,True,88.89
10,2011,Rajasthan Royals,Jos Buttler,40,48,3,1,True,83.33
10,2011,Rajasthan Royals,Sanju Samson,38,38,6,3,True,100.0
10,2011,Rajasthan Royals,Yashasvi Jaiswal,51,59,6,1,True,86.44
10,2011,Rajasthan Royals,Devdutt Padikkal,38,38,4,4,True,100.0
11,2011,Royal Challengers Bangalore,Virat Kohli,33,33,5,1,True,100.0
11,2011,Royal Challengers Bangalore,Faf du Plessis,45,57,6,2,True,78.95
11,2011,Royal Challengers Bangalore,Glenn Maxwell,53,53,9,5,False,100.0
11,2011,Royal Challengers Bangalore,Dinesh Karthik,28,39,4,2,True,71.79
11,2011,Sunrisers Hyderabad,Kane Williamson,57,90,9,3,True,63.33
11,2011,Sunrisers Hyderabad,Abhishek Sharma,27,47,3,2,False,57.45
11,2011,Sunrisers Hyderabad,Rahul Tripathi,38,71,3,1,True,53.52
11,2011,Sunrisers Hyderabad,Nicholas Pooran,45,45,6,3,False,100.0
12,2011,Kolkata Knight Riders,Shreyas Iyer,52,71,6,3,True,73.24
12,2011,Kolkata Knight Riders,Venkatesh Iyer,56,65,9,2,True,86.15
12,2011,Kolkata Knight Riders,Andre Russell,61,69,7,2,True,88.41
12,2011,Kolkata Knight Riders,Nitish Rana,46,65,4,2,True,70.77
12,2011,Delhi Capitals,David Warner,40,56,4,3,True,71.43
12,2011,Delhi Capitals,Prithvi Shaw,71,92,10,4,True,77.17
12,2011,Delhi Capitals,Rishabh Pant,23,25,3,1,True,92.0
12,2011,Delhi Capitals,Axar Patel,44,51,6,2,True,86.27
13,2011,Delhi Capitals,David Warner,54,54,7,3,True,100.0
13,2011,Delhi Capitals,Prithvi Shaw,34,43,5,1,True,79.07
13,2011,Delhi Capitals,Rishabh Pant,35,37,6,2,True,94.59
13,2011,Delhi Capitals,Axar Patel,33,35,3,1,False,94.29
13,2011,Chennai Super Kings,MS Dhoni,16,18,2,1,True,88.89
13,2011,Chennai Super Kings,Ruturaj Gaikwad,0,0,0,0,True,0.0
13,2011,Chennai Super Kings,Devon Conway,16,22,1,1,False,72.73
