match_id,season,team1,team2,winner,toss_winner,toss_decision,team1_score,team2_score,margin
1,2011,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,131,207,76
2,2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,189,140,49
3,2011,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,218,168,50
4,2011,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,bat,189,199,10
5,2011,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,field,136,140,4
6,2011,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,189,133,56
7,2011,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,bat,131,203,72
8,2011,Mumbai Indians,Punjab Kings,Mumbai Indians,Punjab Kings,bat,137,166,29
9,2011,Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,field,192,137,55
10,2011,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,143,214,71
11,2011,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,191,159,32
12,2011,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,bat,182,143,39
13,2011,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,200,128,72
14,2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,192,130,62
15,2011,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,162,124,38
16,2011,Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,bat,136,192,56
17,2011,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,field,215,210,5
18,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,bat,207,122,85
19,2011,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,143,146,3
20,2011,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,bat,206,170,36
21,2011,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,158,155,3
22,2011,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,bat,215,147,68
23,2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,135,147,12
24,2011,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,field,191,194,3
25,2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,206,122,84
26,2011,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,191,156,35
27,2011,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,208,178,30
28,2011,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,181,181,0
29,2012,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,216,120,96
30,2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,219,151,68
31,2012,Chennai Super Kings,Punjab Kings,Punjab Kings,Chennai Super Kings,field,204,175,29
32,2012,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,198,189,9
33,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,field,188,155,33
34,2012,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,149,190,41
35,2012,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,168,201,33
36,2012,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,bat,218,169,49
37,2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,189,121,68
38,2012,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,166,151,15
39,2012,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,bat,148,167,19
40,2012,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,162,143,19
41,2012,Punjab Kings,Delhi Capitals,Punjab Kings,Punjab Kings,field,147,201,54
42,2012,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,170,152,18
43,2012,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,149,127,22
44,2012,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,bat,177,195,18
45,2012,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,field,157,183,26
46,2012,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,148,123,25
47,2012,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,173,211,38
48,2012,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,166,143,23
49,2012,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,161,206,45
50,2012,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,154,214,60
51,2012,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,field,153,151,2
52,2012,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,bat,156,121,35
53,2012,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,field,179,144,35
54,2012,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,186,155,31
55,2012,Chennai Super Kings,Punjab Kings,Punjab Kings,Chennai Super Kings,bat,145,133,12
56,2012,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,195,151,44
57,2013,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,189,127,62
58,2013,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,197,125,72
59,2013,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,184,159,25
60,2013,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,field,159,138,21
61,2013,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,138,131,7
62,2013,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,163,167,4
63,2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,145,180,35
64,2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,field,196,195,1
65,2013,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,191,188,3
66,2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,214,158,56
67,2013,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,152,129,23
68,2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,bat,139,138,1
69,2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,213,143,70
70,2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,field,162,180,18
71,2013,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,field,194,152,42
72,2013,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,bat,142,131,11
73,2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,155,193,38
74,2013,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,136,187,51
75,2013,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,158,155,3
76,2013,Punjab Kings,Delhi Capitals,Punjab Kings,Punjab Kings,bat,139,192,53
77,2013,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,166,131,35
78,2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,159,136,23
79,2013,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,215,132,83
80,2013,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,bat,190,138,52
81,2013,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,154,171,17
82,2013,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,145,176,31
83,2013,Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,168,133,35
84,2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,field,204,137,67
85,2014,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,158,156,2
86,2014,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,194,205,11
87,2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,field,174,123,51
88,2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,190,173,17
89,2014,Punjab Kings,Chennai Super Kings,Punjab Kings,Punjab Kings,field,187,139,48
90,2014,Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,168,120,48
91,2014,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,192,144,48
92,2014,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,187,163,24
93,2014,Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals,bat,148,139,9
94,2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,143,134,9
